0.00000, -196047.06250
0.00700, -196094.12500
0.01400, -196141.17188
0.02100, -196188.23438
0.02800, -196235.28125
0.03500, -196282.34375
0.04200, -196329.40625
0.04900, -196376.45313
0.05600, -196423.48438
0.06300, -196470.53125
0.07000, -196517.54688
0.07700, -196564.57813
0.08400, -196611.56250
0.09100, -196658.54688
0.09800, -196705.48438
0.10500, -196752.39063
0.11200, -196799.26563
0.11900, -196846.09375
0.12600, -196892.85938
0.13300, -196939.56250
0.14000, -196986.18750
0.14700, -197032.71875
0.15400, -197079.15625
0.16100, -197125.50000
0.16800, -197171.71875
0.17500, -197217.78125
0.18200, -197263.68750
0.18900, -197309.43750
0.19600, -197354.96875
0.20300, -197400.29688
0.21000, -197445.40625
0.21700, -197490.28125
0.22400, -197534.87500
0.23100, -197579.18750
0.23800, -197623.18750
0.24500, -197666.81250
0.25200, -197710.10938
0.25900, -197752.98438
0.26600, -197795.50000
0.27300, -197837.56250
0.28000, -197879.18750
0.28700, -197920.31250
0.29400, -197960.93750
0.30100, -198001.06250
0.30800, -198040.64063
0.31500, -198079.71875
0.32200, -198118.18750
0.32900, -198156.09375
0.33600, -198193.43750
0.34300, -198230.18750
0.35000, -198266.32813
0.35700, -198301.87500
0.36400, -198336.84375
0.37100, -198371.25000
0.37800, -198405.03125
0.38500, -198438.25000
0.39200, -198470.93750
0.39900, -198503.12500
0.40600, -198534.78125
0.41300, -198565.93750
0.42000, -198596.68750
0.42700, -198627.00000
0.43400, -198656.84375
0.44100, -198686.34375
0.44800, -198715.43750
0.45500, -198744.25000
0.46200, -198772.62500
0.46900, -198800.76563
0.47600, -198828.50000
0.48300, -198855.89063
0.49000, -198882.93750
0.49700, -198909.59375
0.50400, -198935.81250
0.51100, -198961.53125
0.51800, -198986.68750
0.52500, -199011.20313
0.53200, -199034.98438
0.53900, -199057.87500
0.54600, -199079.81250
0.55300, -199100.56250
0.56000, -199119.84375
0.56700, -199137.40625
0.57400, -199152.87500
0.58100, -199165.84375
0.58800, -199175.84375
0.59500, -199182.06250
0.60200, -199183.78125
0.60900, -199179.87500
0.61600, -199168.68750
0.62300, -199148.31250
0.63000, -199116.12500
0.63700, -199068.37500
0.64400, -198999.96875
0.65100, -198903.43750
0.65800, -198767.93750
0.66500, -198577.50000
0.67200, -198308.53125
0.67900, -197926.87500
0.68600, -197385.71875
0.69300, -196628.84375
0.70000, -195611.68750
0.70700, -194356.18750
0.71400, -193023.09375
0.72100, -191903.90625
0.72800, -191247.75000
0.73500, -191087.31250
0.74200, -191264.90625
0.74900, -191571.09375
0.75600, -191846.25000
0.76300, -192018.81250
0.77000, -192092.62500
0.77700, -192106.37500
0.78400, -192097.78125
0.79100, -192087.81250
0.79800, -192082.75000
0.80500, -192080.90625
0.81200, -192078.65625
0.81900, -192073.56250
0.82600, -192065.18750
0.83300, -192054.46875
0.84000, -192042.31250
0.84700, -192029.25000
0.85400, -192015.37500
0.86100, -192000.34375
0.86800, -191983.71875
0.87500, -191965.46875
0.88200, -191945.62500
0.88900, -191924.31250
0.89600, -191901.43750
0.90300, -191877.25000
0.91000, -191851.78125
0.91700, -191825.25000
0.92400, -191797.87500
0.93100, -191769.87500
0.93800, -191741.68750
0.94500, -191713.62500
0.95200, -191686.12500
0.95900, -191659.43750
0.96600, -191633.81250
0.97300, -191609.62500
0.98000, -191587.18750
0.98700, -191566.62500
0.99400, -191548.46875
1.00100, -191532.84375
1.00800, -191519.68750
1.01500, -191509.37500
1.02200, -191501.75000
1.02900, -191496.90625
1.03600, -191494.84375
1.04300, -191495.46875
1.05000, -191498.78125
1.05700, -191504.59375
1.06400, -191512.90625
1.07100, -191523.50000
1.07800, -191536.21875
1.08500, -191550.90625
1.09200, -191567.37500
1.09900, -191585.46875
1.10600, -191604.96875
1.11300, -191625.81250
1.12000, -191647.84375
1.12700, -191670.78125
1.13400, -191694.43750
1.14100, -191718.68750
1.14800, -191743.12500
1.15500, -191767.68750
1.16200, -191792.00000
1.16900, -191815.68750
1.17600, -191838.43750
1.18300, -191859.85938
1.19000, -191879.45313
1.19700, -191896.50000
1.20400, -191910.03125
1.21100, -191919.06250
1.21800, -191922.14063
1.22500, -191917.43750
1.23200, -191902.32813
1.23900, -191873.40625
1.24600, -191825.78125
1.25300, -191752.87500
1.26000, -191645.67188
1.26700, -191492.42188
1.27400, -191279.46875
1.28100, -190993.82813
1.28800, -190631.65625
1.29500, -190211.35938
1.30200, -189785.50000
1.30900, -189434.35938
1.31600, -189230.70313
1.32300, -189199.67188
1.33000, -189308.84375
1.33700, -189493.79688
1.34400, -189691.03125
1.35100, -189859.96875
1.35800, -189987.43750
1.36500, -190079.60938
1.37200, -190150.15625
1.37900, -190211.23438
1.38600, -190269.82813
1.39300, -190328.29688
1.40000, -190386.04688
1.40700, -190442.01563
1.41400, -190495.48438
1.42100, -190546.78125
1.42800, -190596.62500
1.43500, -190646.06250
1.44200, -190695.68750
1.44900, -190745.92188
1.45600, -190796.65625
1.46300, -190847.68750
1.47000, -190898.90625
1.47700, -190950.18750
1.48400, -191001.57813
1.49100, -191053.15625
1.49800, -191104.87500
1.50500, -191156.71875
1.51200, -191208.56250
1.51900, -191260.15625
1.52600, -191311.04688
1.53300, -191360.81250
1.54000, -191408.82813
1.54700, -191454.53125
1.55400, -191497.43750
1.56100, -191537.31250
1.56800, -191574.46875
1.57500, -191610.28125
1.58200, -191647.07813
1.58900, -191688.56250
1.59600, -191739.12500
1.60300, -191802.57813
1.61000, -191880.89063
1.61700, -191973.20313
1.62400, -192075.84375
